"	amplitude_id","	user_id","	city","	country","	device","	device_type","	dma","	gt:acc_id","	ip_address","	language","	library","	os","	platform","	region","	gp:fbclid","	gp:gclid","	gp:initial_fbclid","	gp:initial_gclid","	gp:initial_referrer","	gp:initial_referring_domain","	gp:initial_utm_campaign","	gp:initial_utm_content","	gp:initial_utm_medium","	gp:initial_utm_source","	gp:initial_utm_term","	gp:referrer","	gp:referring_domain","	gp:user_accounts_created","	gp:user_cookie_campaign","	gp:user_cookie_content","	gp:user_cookie_fbclid","	gp:user_cookie_gclid","	gp:user_cookie_http_referrer","	gp:user_cookie_keyword","	gp:user_cookie_lp_full","	gp:user_cookie_lpcleaned","	gp:user_cookie_medium","	gp:user_cookie_source","	gp:user_invited","	gp:user_latest_nps","	gp:user_mrr","	gp:user_obsurvey_business_type","	gp:user_obsurvey_current_tool","	gp:user_obsurvey_main_activity","	gp:user_obsurvey_start_when","	gp:user_obsurvey_used_before","	gp:user_signup_howwemet","	gp:user_total_accounts","	gp:user_total_logins","	gp:user_users_invited","	gp:utm_campaign","	gp:utm_content","	gp:utm_medium","	gp:utm_source","	gp:utm_term"
"	287344197700","	61153ace2659af69ba4139f6","	Alicante","	Spain","	Mac","	Mac","	","	[""61153b03ef29c314ab610029""]","	85.60.165.199","	Spanish","	amplitude-js/8.1.0","	Safari 14","	Web","	Alicante","	","	CjwKCAjwjdOIBhA_EiwAHz8xm2G3E23LSrWyEy0oDa19V1iIPqSvm0usA4B3-Maoe8rNbBYeLJG3aBoCZXMQAvD_BwE","	","	CjwKCAjwjdOIBhA_EiwAHz8xm2G3E23LSrWyEy0oDa19V1iIPqSvm0usA4B3-Maoe8rNbBYeLJG3aBoCZXMQAvD_BwE","	https://www.google.com","	www.google.com","	generic_9761431352","	99228401669_464474573270","	cpc","	google","	+facturacion +on +line","	https://www.google.com","	www.google.com","	1","	generic_9761431352","	99228401669_464474573270","	","	CjwKCAjwjdOIBhA_EiwAHz8xm2G3E23LSrWyEy0oDa19V1iIPqSvm0usA4B3-Maoe8rNbBYeLJG3aBoCZXMQAvD_BwE","	https://www.google.com/","	+facturacion +on +line","	https://www.holded.com/es/programa-facturacion?h1=El+mejor+programa+de+facturaci%C3%B3n+online+para+tu+empresa&utm_source=google&utm_medium=cpc&utm_campaign=generic_9761431352&utm_content=99228401669_464474573270&utm_term=%2Bfacturacion%20%2Bon%20%2Bline&hld_device=c&hld_network=g&hld_matchtype=b&hsa_acc=7276020979&hsa_ad=464474573270&hsa_mt=b&hsa_kw=%2Bfacturacion%20%2Bon%20%2Bline&hsa_ver=3&hsa_src=g&hsa_cam=9761431352&hsa_grp=99228401669&hsa_net=adwords&hsa_tgt=kwd-323048716231&gclid=CjwKCAjwjdOIBhA_EiwAHz8xm2G3E23LSrWyEy0oDa19V1iIPqSvm0usA4B3-Maoe8rNbBYeLJG3aBoCZXMQAvD_BwE","	https://www.holded.com/es/programa-facturacion","	cpc","	google","	false","	","	0","	retails","	nothing","	invoicing","	browsing","	fewtimes","	Search engine","	1","	1","	","	generic_9761431352","	99228401669_464474573270","	cpc","	google","	+facturacion +on +line"
"	293636399175","	612f5dd736447a552423171f","	Barcelona","	Spain","	Mac","	Mac","	","	[""612f5ded6fa6400275712019""]","	80.102.153.182","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Barcelona","	","	","	","	","	https://app.holded.com/store/team","	app.holded.com","	5cb43a6b6a97283bf0309b32","	5cb43a106a9728365b5bd2e3","	referral","	team_invite","	","	https://app.holded.com/store/team","	app.holded.com","	1","	","	","	","	","	","	","	","	","	","	","	false","	","	0","	services","	spreadsheet","	accounting","	browsing","	never","	Shared doc","	0","	1","	","	5cb43a6b6a97283bf0309b32","	5cb43a106a9728365b5bd2e3","	referral","	team_invite","	"
"	137059532871","	5e4c19df6a972804df26821c","	Las Palmas de Gran Canaria","	Spain","	","	","	","	","	95.62.27.184","	Spanish","	http/2.0","	","	web","	Las Palmas","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	8","	0","	","	","	","	","	","	","	1","	20","	","	","	","	","	","	"
"	215376339017","	5fd1f233cc053728df137802","	Madrid","	Spain","	Windows","	Windows","	","	","	83.48.100.197","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Madrid","	","	","	","	","	https://www.google.com/","	www.google.com","	","	","	","	","	","	https://www.google.com/","	www.google.com","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	services","	desktopsoftware","	invoicing","	now","	fewtimes","	","	","	56","	","	","	","	","	","	"
"	224196853835","	5fabbcd150b44775ea5b5d31","	Reus","	Spain","	Windows","	Windows","	","	","	185.183.18.135","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Tarragona","	","	","	","	","	https://app.holded.com/boards","	app.holded.com","	","	","	","	","	","	https://app.holded.com/sales/revenue","	app.holded.com","	","	","	","	","	","	","	","	","	","	","	","	","	10.0","	172.0","	","	","	","	","	","	","	5","	65","	","	","	","	","	","	"
"	291886514261","	612804c23a7f166dfb791369","	","	Spain","	Windows","	Windows","	","	","	88.31.128.9","	Spanish","	amplitude-js/8.1.0","	Edge 92","	Web","	","	","	","	","	","	","	","	5f96b2ff1c84eb041036efcc","	5f96cd9e7ccece5a2a7abd63","	referral","	team_invite","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	true","	","	","	","	","	","	","	","	","	","	1","	","	5f96b2ff1c84eb041036efcc","	5f96cd9e7ccece5a2a7abd63","	referral","	team_invite","	"
"	226263179349","	5be1ce95a265645f2c2fa423","	Terrassa","	Spain","	","	","	","	","	93.176.165.213","	Spanish","	http/2.0","	","	web","	Barcelona","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	7","	0","	","	","	","	","	","	","	5","	11","	","	","	","	","	","	"
"	289373159511","	5d82b3a96a972826cd2caeb5","	Santa Cruz de Tenerife","	Spain","	Windows","	Windows","	","	[""611d79f730ac2d38394eb64a""]","	77.225.128.201","	Spanish","	amplitude-js/8.1.0","	Chrome 91","	Web","	Santa Cruz de Tenerife","	","	","	","	","	https://app.holded.com/products/new","	app.holded.com","	","	","	","	","	","	https://app.holded.com/products/new","	app.holded.com","	1","	","	","	","	","	","	","	","	","	","	","	","	","	0","	","	","	","	","	","	YouTube","	1","	2","	","	","	","	","	","	"
"	235423596632","	602f63c3d7580029bb7521d9","	Madrid","	Spain","	","	","	","	","	188.165.128.113","	Spanish","	http/2.0","	","	web","	Madrid","	","	","	","	","	https://app.holded.com/expenses/list","	app.holded.com","	","	","	","	","	","	https://app.holded.com/expenses/list","	app.holded.com","	1","	","	","	","	","	","	","	https://www.holded.com/es/contactanos","	https://www.holded.com/es/contactanos","	referal","	","	false","	8","	29","	both","	cloudsoftware","	invoicing","	now","	never","	YouTube","	1","	176","	1","	","	","	","	","	"
"	251064074327","	6075c4dc2677f0538c2b98ab","	","	Spain","	Windows","	Windows","	","	","	2.140.19.47","	Spanish","	amplitude-js/8.1.0","	Chrome 92","	Web","	Catalonia","	","	CjwKCAjwmK6IBhBqEiwAocMc8rm9pU8skujTFdRRa-MkmvueuoRUQu3Nh2Aq3lgD9hU7fWfXVSK_LxoCQDoQAvD_BwE","	","	CjwKCAjwmK6IBhBqEiwAocMc8rm9pU8skujTFdRRa-MkmvueuoRUQu3Nh2Aq3lgD9hU7fWfXVSK_LxoCQDoQAvD_BwE","	https://www.google.com/","	www.google.com","	brand_10388931271","	104378540118_528482043805","	cpc","	google","	holded","	https://www.google.com/","	www.google.com","	","	5dbac1236a9728418318daf8","	5dbac0fd6a972836ea1fc0d3","	","	","	","	","	https://app.holded.com/signup?lang=es&email=bordoy.2@gmail.com&utm_source=team_invite&utm_medium=referral&utm_campaign=5dbac1236a9728418318daf8&utm_content=5dbac0fd6a972836ea1fc0d3","	https://app.holded.com/signup","	referral","	team_invite","	true","	","	79.0","	","	","	","	","	","	","	2","	16","	","	brand_10388931271","	104378540118_528482043805","	cpc","	google","	holded"
